strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
fixed_carbon,43,stage_2,low_carbon_priority,3000,5999,3000,1986.897115241453,1730.1864516697412,16.451216459274292,12.845166325569153,0.0238,0.384,0.8576849460601806
fixed_carbon,43,stage_3,peak_aware,6000,8758,2759,993.9917729561514,1452.272335894858,14.7358500957489,13.558783292770386,0.0238854657484595,0.4015947807176513,0.5613326311111451
fixed_cost,43,full,all,0,8758,8759,4721.822816831924,4770.4902821806045,17.795783281326294,17.795783281326294,0.0296152528827491,0.3343989039844731,0.5612844109535218
fixed_cost,43,stage_1,cost_priority,0,2999,3000,1762.600593645911,1565.3523655113968,16.333150267601013,14.217733025550842,0.0288333333333333,0.339,0.7892528295516967
fixed_cost,43,stage_2,low_carbon_priority,3000,5999,3000,1980.1941096473795,1742.2578182220416,17.795783281326294,17.795783281326294,0.0299,0.325,0.718965744972229
fixed_cost,43,stage_3,peak_aware,6000,8758,2759,979.0281135386329,1462.8800984471668,16.325783610343933,13.558783292770386,0.0301558535701341,0.3396158028271113,0.5612844109535218
fixed_peak,43,full,all,0,8758,8759,4737.844112877761,4750.35623817912,16.451216459274292,15.295783281326294,0.0260532024203676,0.3748144765384176,0.5604900479316711
fixed_peak,43,stage_1,cost_priority,0,2999,3000,1769.7286166812924,1560.5339131734854,15.268349409103394,14.217733025550842,0.0279666666666666,0.365,0.7018079996109009
fixed_peak,43,stage_2,low_carbon_priority,3000,5999,3000,1980.3919773246896,1734.303624899182,16.451216459274292,15.295783281326294,0.0256999999999999,0.3636666666666667,0.8585320949554444
fixed_peak,43,stage_3,peak_aware,6000,8758,2759,987.7235188717788,1455.5187001064533,16.325783610343933,13.558783292770386,0.0243566509604929,0.397607828923523,0.5604900479316711
dynamic,44,full,all,0,8758,8759,4729.283209709658,4737.558479681128,16.451216459274292,15.295783281326294,0.0266697111542413,0.3707044183125927,0.5626848220825196
dynamic,44,stage_1,cost_priority,0,2999,3000,1760.6678557796972,1564.9501973160782,16.333150267601013,14.217733025550842,0.0315999999999999,0.3313333333333333,0.7036929488182068
dynamic,44,stage_2,low_carbon_priority,3000,5999,3000,1988.6952902074436,1721.3744746970383,16.451216459274292,15.295783281326294,0.0226,0.404,0.9475712895393372
dynamic,44,stage_3,peak_aware,6000,8758,2759,979.9200637225168,1451.2338076680114,14.7358500957489,13.558783292770386,0.0257339615802827,0.3773106197897789,0.5626848220825196
fixed_carbon,44,full,all,0,8758,8759,4763.685960551578,4726.623455760433,16.451216459274292,15.295783281326294,0.025128439319557,0.3888571754766526,0.5627775907516479
fixed_carbon,44,stage_1,cost_priority,0,2999,3000,1787.0565287175368,1558.1522401434622,16.333150267601013,14.217733025550842,0.0285,0.3716666666666666,0.6337077617645264
fixed_carbon,44,stage_2,low_carbon_priority,3000,5999,3000,1989.2200797640644,1721.6796761144558,16.451216459274292,15.295783281326294,0.0226,0.404,0.9476025223731994
fixed_carbon,44,stage_3,peak_aware,6000,8758,2759,987.4093520699766,1446.791539502515,14.7358500957489,13.558783292770386,0.0242116708952519,0.3910837259876767,0.5627775907516479
fixed_cost,44,full,all,0,8758,8759,4721.964615326419,4768.785788753801,17.795783281326294,17.795783281326294,0.0309966891197625,0.3272063020892796,0.562734055519104
fixed_cost,44,stage_1,cost_priority,0,2999,3000,1760.6678557796972,1564.9501973160782,16.333150267601013,14.217733025550842,0.0315999999999999,0.3313333333333333,0.7036929488182068
fixed_cost,44,stage_2,low_carbon_priority,3000,5999,3000,1978.9868792614536,1743.3804945430666,17.795783281326294,17.795783281326294,0.0309333333333333,0.3106666666666666,0.7903650879859925
fixed_cost,44,stage_3,peak_aware,6000,8758,2759,982.3098802852692,1460.455096894657,14.68006670475006,13.558783292770386,0.0304095686843059,0.340703153316419,0.562734055519104
fixed_peak,44,full,all,0,8758,8759,4728.586669679235,4736.862118836401,16.451216459274292,15.295783281326294,0.0267382121246717,0.3665943600867679,0.5626813530921936
fixed_peak,44,stage_1,cost_priority,0,2999,3000,1764.107282586925,1561.230419332684,16.333150267601013,14.217733025550842,0.0296666666666666,0.348,0.6336799383163452
fixed_peak,44,stage_2,low_carbon_priority,3000,5999,3000,1984.559243553921,1724.397860785455,16.451216459274292,15.295783281326294,0.0247333333333333,0.3753333333333333,0.9475678086280824
fixed_peak,44,stage_3,peak_aware,6000,8758,2759,979.9201435383884,1451.2338387182622,14.7358500957489,13.558783292770386,0.0257339615802827,0.3773106197897789,0.5626813530921936
